State,Initiative name,Initiative Number,Initiative status,Initiative Narrative,Initiative Metrics (Semicolon Separated),Metric Statuses (Semicolon-Separated)
IL,"Overcoming Geographic Barriers to 
Care  - Technological Innovation for Virtual Care",5,In progress,"Problem statement: The lack of sufficient access to physician specialist services, emergency medical clinicians, behavioral health services, and obstetric care in rural areas of the state creates significant gaps in care for rural populations. Many of these provider types are more widely available in other areas of the state – such as in Cook County, its collar counties, or other areas with a higher population density. Illinois is committed to connecting people to their healthcare providers with as few barriers as possible between the individual and their care provider.

Objective: To ensure that individuals in rural areas have consistent access to specialty care in their communities, this investment in technology interventions aims to bring specialty care to those high-need rural populations through technology solutions, rather than transporting individuals out of their communities. This initiative will support technological innovation through the Illinois Connected Care Collaborative (IC3) initiative, led by ICAHN which uses technology and collaboration to advance access, quality, outcomes, and cost efficiency across all rural hospitals, rural health clinics, FQHCs, pharmacies, and clinicians serving rural Illinois. IC3 will strengthen the entire rural care ecosystem, enabling healthcare providers to better connect with each other and their patients. ICAHN will serve as the Technology Navigator and Implementation Partner, coordinating statewide assessments, education, vendor selection, and technical support. In Year 1, ICAHN will lead a comprehensive rural digital readiness and needs assessment to determine each rural hospital’s current infrastructure, interoperability, and capacity to adopt new technologies. Based on those findings, hospitals will choose from a menu of preidentified, vetted technology solutions—ranging from cybersecurity and broadband expansion to EHR modernization and automation tools that support evidence-based clinical care—aligned to their specific needs and readiness level. ICAHN will administer funds to hospitals to cover the cost of technology build and maintenance through the life of the RHT program. This initiative also represents a true model of sustainability and transformation. By building digital readiness, interoperability, and data-sharing capacity, rural hospitals will be positioned to
participate in population health initiatives and alternative payment models that reward quality and outcomes rather than volume. Historically, these models have been difficult for rural hospitals to access due to limited upfront funding and a lack of payer support for infrastructure and analytics. IC3 directly addresses this gap by creating the technological and organizational foundation needed for long-term success. With this investment, Illinois will not only expand access and efficiency in rural healthcare but also achieve the kind of systemic transformation that ensures sustained access to care and financial stability in communities that have too often been left behind.",ED Visits for Behavioral Health;ED Visits for Primary Care Sensitive Cases;Telehealth Utilization;Member Level Total Cost of Care;Follow-Up After ED Visits for Mental Illness (NCQA);Follow-Up After ED Visits for Substance Abuse (NCQA),Active;Active;Active;Active;Active;Active
IL,"Building a Resilient Rural 
Workforce  - Healthcare Workforce Expansion",6,In progress,"Problem statement: Rural communities face significant difficulties in recruiting and retaining healthcare professionals, a challenge that is particularly severe when it comes to attracting providers for high-need specialties, such as behavioral health, obstetrics, and primary care. These gaps in the workforce result in limited access to essential services for rural populations, exacerbating health disparities and negatively impacting community well-being. To address these challenges and build sustainable capacity, targeted incentives, bonuses, and support mechanisms are needed to encourage professionals to serve in rural settings and remain there for extended periods.

Objective: To strengthen healthcare delivery in rural communities, this initiative will focus on attracting and retaining health professionals. HFS will provide funds to state universities, community colleges, and hospitals to expand scholarship programs; bonuses to relocate and/or stay in rural communities; fellowships; apprenticeships; and other successful training programs. This initiative will begin with a centralized planning process with key stakeholders to identify the highest priority professions to address the most urgent workforce gaps and rural population health disparities. This may include physicians, advanced practitioners, and allied professionals, and may reflect a focus on maternal health, behavioral health, primary care, paramedicine, or other specialties. This will lead to the identification of workforce programs offered through state universities, community colleges, or hospitals that are best suited to meet needs. This will allow Illinois to deploy dollars strategically, addressing the most pressing needs and customize programming to rural communities. Programs with demonstrated success, such as Southern Illinois University’s (SIU) Lincoln Scholars program, which places future physicians on care teams in rural clinical settings, will be prioritized. An example of a program in another state is the Tufts School of Medicine’s Maine Track Program, which offers a $25,000 annual scholarship to medical students with the aim of providing experience in rural medicine. This initiative is not a loan repayment program. However, it is designed to complement existing federal and state efforts—such as the National Health Service Corps State Loan Repayment Program (SLRP), the Underserved Health Care Workforce Provider Workforce Program (UHWP), and the Community Behavioral Health Loan Repayment Program. Additionally, it will focus exclusively on individual providers who commit to serving in rural communities for a minimum of 5 years.",Follow-Up After ED Visits for Mental Illness (NCQA);Follow-Up After ED Visits for Substance Abuse (NCQA);Timely Follow-Up After Acute Exacerbations of Chronic Conditions;Rural Non-Traditional Health Professionals Receiving Training;Rural Health Profession Students Receiving Training;Total Nursing Hours per Patient Day (Medical-Surgical),Active;Active;Active;Active;Active;Active
IL,"Building a Resilient Rural 
Workforce - Training Healthcare Support Workers",7,In progress,"Problem statement: In addition to general healthcare workforce shortages, rural communities face significant gaps in non-traditional, non-physician healthcare workers that can augment healthcare delivery, enhance care coordination, and serve as extensions into the community. This limitation restricts healthcare providers’ ability to fully utilize their skills and expertise, preventing them from practicing at the top of their license and further constraining access. The shortage of these essential roles, such as CHWs, doulas, lactation consultants, and peer support professionals directly impacts the quality and accessibility of care available in rural regions. Additionally, these positions frequently act as an essential gateway for individuals starting a career in healthcare and, more broadly, contribute to job growth within these communities. A primary driver of these workforce gaps is the lack of accessible training and certification programs within rural communities. Without local opportunities for education and professional development in non-traditional healthcare roles, individuals are less likely to pursue these career paths. Addressing this issue requires the establishment and expansion of training initiatives specifically designed to meet the needs of rural areas, ensuring that healthcare providers have the support necessary to deliver comprehensive care.

Objective: This initiative will strengthen rural healthcare by expanding and establishing new training and certification programs tailored to local needs. The focus will be on developing a larger workforce for roles such as CHWs, doulas, lactation consultants, and peer support professionals and offering training opportunities that can keep rural learners in their communities. Collaboration is essential to this initiative; the effort will involve establishing and strengthening partnerships between educational institutions, local health systems, and community organizations. Together, these partners will develop training, certification, and apprenticeship programs specifically designed to address local workforce needs and fill critical gaps. Additionally, funding awards and other incentives will be offered to encourage individuals in rural areas to enroll in these programs and remain in the community, expanding access to essential healthcare roles.","ED Visits for Behavioral Health;ED Visits for Primary Care Sensitive Cases;Preventive Care and Screening: Screening for Depression and
Follow-Up Plan (NCQA);Follow-Up After ED Visits for Mental Illness (NCQA);Follow-Up After ED Visits for Substance Abuse (NCQA);Diabetes: Hemoglobin A1c (HbA1c) Poor Control (> 9%);Controlling High Blood Pressure;Timely Follow-Up After Acute Exacerbations of Chronic Conditions;Rural Non-Traditional Health Professionals Receiving Training;Rural Health Profession Students Receiving Training;Total Nursing Hours per Patient Day (Medical-Surgical)",Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active
IL,"Building a Resilient Rural 
Workforce - Rural Health Education Pipeline",8,In progress,"Problem statement: Rural communities are confronted with persistent difficulties in cultivating a robust healthcare workforce, oftentimes due to the absence of structured career pathways and limited opportunities for younger people to explore healthcare professions. Insufficient exposure to these careers can reduce overall community awareness and interest, impeding efforts to develop a sustainable pipeline of local healthcare professionals and threatening the long-term health and vitality of rural regions.

Objective: The primary objective of this initiative is to expand career pathways and workforce development programs for rural high school students through the UIC Area Health Education Center (AHEC). The programs are designed to build awareness and stimulate interest in healthcare careers by providing hands-on experiences, such as job shadowing, mentorship and workshops. While UIC’s main campus is in Chicago, the AHEC program operates out of a satellite campus in Rockford – in Winnebago County in northern Illinois. The investment will advance UIC-AHEC’s initiatives through its regional centers, with a specific focus on supporting rural communities. To ensure students gain real-world exposure and the program remains aligned with current workforce needs, AHEC will partner with rural hospitals and provider organizations. The initiative will showcase a diverse array of roles in healthcare, encompassing both clinical and non-clinical careers. Additionally, the program will be integrated with school initiatives to enhance accessibility and promote long-term sustainability.",ED Visits for Behavioral Health;ED Visits for Primary Care Sensitive Cases;Rural Non-Traditional Health Professionals Receiving Training;Rural Health Profession Students Receiving Training;Total Nursing Hours per Patient Day (Medical-Surgical),Active;Active;Active;Active;Active
IN,Growing Care Coordination: Medical Operations Coordination Center and Alternate Payment Model Feasibility Study,1,In progress,"• Improved bi-directional transfer coordination for rural communities
• Improve speed, access, and cost to deliver emergency medical services.
• Reduced delays in accessing trauma, stroke, psychiatric, and specialty care services. Initial investments in technology and infrastructure. Maintenance will be transitioned to a cost share agreement with the State.","Number of appropriate diversions to alternate locations, by county;Time to transfer to higher level of care for critical conditions;Time to transfer for non-critical paper;Number of ED visits for psychiatric conditions;Completion of Alternate Payment Model Feasibility Study",Active;Active;Active;Active;Active
IN,Growing Community Connections through Indiana 211,2,In progress,Funding will primarily support community engagement and buy-in to bring community-based organization referrals into the existing Indiana 211 system and MCO infrastructure and their payment structures. Coordination network will be self-sustaining.,"Closed Loop Referrals
across Clinicians and CBOs;Number of unique individuals in rural counties connected to at
least 1 Community Connections resource, by county;Percentage of users reporting satisfaction with referral and follow up support process;Overall hospital utilization for all Medicaid recipients",Active;Active;Active;Active
IN,Growing Improved Patient Outcomes Through Enhanced Interoperability and Technology ,3,In progress,Increased awareness of the current technology and infrastructure that are currently utilized by rural health providers,"Number of rural providers adopting new interoperability and data exchange infrastructure and enhancements, by county;Number of patient encounters where statewide clinical data is viewed in rural counties;Completion and utilization of the HIE provider portal with AI enabled decision making;Completed feasibility study and associated implementation plan for Double Up Indiana Retail Expansion",Active;Active;Active;Active
IN,Growing Pediatric & Obstetric Readiness in Rural Emergency Departments ,4,In progress,"• Improve the overall delivery of care in rural EDs across Indiana and decrease pediatric and OB morbidity and mortality
• Establish a network connecting the Emergency Care Coordinators (ECCs) across the state
• Increased PECC participation in the National Pediatric Readiness Quality Initiative (NPRQI)
• Increase in stabilization and successful transfers of OB emergent patients
• Increased connection with perinatal centers, their affiliates, and non-birthing facilities regarding emergency obstetric care
• Boost workforce through recruitment of Pediatric Readiness Coaches (PRCs) to improve readiness and build sustainability within hospital sites
• Standardized resources to communicate to EMS or receiving hospital regarding maternal, neonatal or pediatric patient
• Increased Pediatric Readiness Score (PRS) across sites
• Decreased ED length of stay for critical OB and pediatric patients
• Improved readiness, recognition, response, and reporting for the OB and pediatric populations that report to EDs for care","Percentage of specified rural emergency departments determined to be OB ready through training, use of equipment, and use of ACOG emergency protocols, by county;Percentage of rural EDs achieving Pediatric Ready designation, by county;Percentage of prehospital agencies assessed and determined to be pediatric ready and OB ready including skills-checking on use of pediatric and OB equipment;Percentage of facilities with lifecycle-managed pediatric/OB equipment",Active;Active;Active;Active
IN,Growing Cardiometabolic Health Standards of Care in Rural Indiana ,5,In progress,"•Improved health outcomes
• Reduced hospitalizations and readmissions
• Reduced burden of obesity and chronic disease
• Enhanced patient experience
• Increased early identification of cardiometabolic risk factors like early signs of obesity, heart disease, and prediabetes or diabetes
• Clinician certifications in cardiometabolic care to enhance rural workforce","Number of rural residents with access to cardiometabolic centers of excellence, by county;Percentage of patients achieving improved HbA1c control (<8% for diabetics) or blood pressure control (<140/90 for hypertensive patients), by county;Number of individuals trained on Lifestyle Medicine;Completed Feasibility Report with Implementation Plan for Food is Medicine plan",Active;Active;Active;Active
IN,Growing Access to Hospital Post-Discharge Medications ,6,In progress,"• Initiative launch and number of participating hospitals
• Reduced hospital readmission rates 
• Increased post-discharge medication adherence rates
• Decreased ED utilization post discharge","Percentage of rural hospital participation in Hospital Post-Discharge Medication program, by county;Number of 30-day hospital readmission rates for participants in program;ED utilization 30 days post hospitalization;Percentage of discharged patients in participating hospitals who receive all prescribed medications before discharge",Active;Active;Active;Active
IN,Growing Specialty Provider Access through Expanded Teleconsult Capabilities ,7,In progress,"•Completed needs assessment to understand teleconsult landscape
• Improved health outcomes due to timely care
• Increased access to specialty care for our rural communities
• Increased ability to treat and discharge inpatient patients and avoiding transfers due to telespecialty consultation
• Improved access to high-demand/low supply provide","Number of interfacility transfers;Wait time and travel for an appointment with a specialist, by county;Number of specialists available via teleconsult;Utilization rate for providers",Active;Active;Active;Active
IN,Growing Telehealth Access and Infrastructure ,8,In progress,"• Improved access to clinical care, both primary and specialty/subspecialty
• Improved access to preventive services and prenatal and postpartum care
• Improved health outcomes through expanded health coaching access; such as, BMI, cholesterol, hypertension, etc.
• Improved timeliness of access to appropriate care, by county
• Number of patients served through telehealth solutions","Number of telehealth encounters (incl. teleconsultation, virtual urgent care, and remote patient monitoring);Percentage of patients achieving
improved HbA1c control (<8% for
diabetics) or blood pressure control (<140/90 for hypertensive patients), measured at county level;Timeliness of access to appropriate care, by county;Preventable ED visit rates for ambulatory care-sensitive conditions measured at county level",Active;Active;Active;Active
IN,Growing our Rural Health Paraprofessional Workforce ,9,In progress,"Creation of career pathways and stipends will build a rural workforce that serves rural communities beyond the timeframe of this grant. Also, Community Health Workers (CHWs) have demonstrated return on investment in their role in supporting families in healthcare and social need navigation.","Number of CHWs recruited and trained across rural communities, by county;Percentage of CHWs integrated into clinical and community care teams and long-term healthcare planning;Number of students enrolled annually in the Healthcare Academy;Number of students who go on to complete certifications (LPN, EMT, CNA, etc.) as result of the Healthcare Academy",Active;Active;Active;Active
IN,Growing Clinical Training and Readiness ,10,In progress,"• Increased total number of residency programs operating within the state
• Increased number of available rural or underserved rotations offered to residents
• Total length of service commitments in rural and underserved areas
• Increased number of participating preceptors",Number of registered rural clinical preceptors;Percentage of individuals utilizing the state implemented preceptor database;Number of rural residencies and rotations;Population to physician ratio in rural counties,Active;Active;Active;Active
IN,Growing our Rural Behavioral Health Workforce ,11,In progress,"• Increased local hire rate in rural communities of program graduates
• Increased behavioral health workforce in target rural sites
• Increased program completion and credential attainment rate
• Increased retention and community service impact of behavioral health workforce","Number of individual rural patients receiving psychology services per month;Number of different rural counties who have residents receiving psychology services, by county;Percentage of enrolled students who complete the certificate/degree within the expected timeframe and obtain credential;Percentage of program graduates employed at a participating rural facility within 12 months of graduation",Active;Active;Active;Active
IN,Make Rural Indiana Healthy Again Regional Grants ,12,In progress,"This initiative duplicates the federal RHTP at the state level. Similar to the sentiment of the federal program, Indiana recognizes that rural communities across the state have unique insight into their own needs which strengthens their ability to implement specific local solutions","Percentage receiving prenatal care in the first trimester, measured at county level;Number of new access points to provide primary and preventative care and No. of people served;Percentage of residents with access to essential non-medical drivers of health such as transportation and nutritious food;Cost savings through shared services, collaborative purchasing, care coordination, etc.;Preventable ED visit rates for ambulatory care sensitive conditions measured at county level",Active;Active;Active;Active;Active
IA,Hometown Connections,1,In progress,"Iowa will implement Hometown Connections, a statewide initiative designed to strengthen care coordination and service delivery in rural areas through strategic partnerships among healthcare providers.","Percentage of Centers of Excellence that have launched new services and hired workforce positions, such as OB navigators, midwives, or mental health providers.;Percentage of equipment that has been installed and is operational across participating facilities;Percentage of rural spoke facilities with telehealth infrastructure operational and connected to hub specialists, ensuring 
readiness for virtual care delivery and access to advanced specialist expertise;Number of telehealth consultations delivered between hub specialists and spoke facilities will be reported to demonstrate increased utilization of specialist services provided to rural patients",Active;Active;Active;Active
IA,Combat Cancer: Prevent and Treat,2,In progress,"Cancer is the second leading cause of death in Iowa, following heart disease, and remains a critical concern for rural communities. As Iowa’s rural population continues to age, the burden of cancer, particularly lung, breast, colon, and skin cancers, is expected to increase. The Combat Cancer: Prevent and Treat initiative will invest in prevention, screening, and treatment strategies to reduce this burden, with a focus on expanding access to care through a statewide Health Hub model.","Number and percentage of cancer screenings, including radon tests, FIT tests, and dermatoscope screenings at the county level, demonstrating progress in early detection and prevention for the rural population;Percentage of high radon test results that result in subsidized and non-subsidized radon mitigation installations at the county-level, highlighting the effectiveness of radon testing on environmental risk reduction;Percentage of rural spoke facilities with outpatient chemotherapy infusion infrastructure progress, including renovation progress, equipment procurement and installation, and staffing;Number of tumor boards or tele-oncology consultations conducted between rural spoke facilities and hub specialists, indicating increased access to specialist cancer care for rural patients",Active;Active;Active;Active
IA,Communities of Care,3,In progress," Rural Iowans face persistent challenges in accessing coordinated, person-centered care. Health and social services are often limited and geographically dispersed, and chronic disease remains a significant burden. To address these issues, Iowa will implement a structural transformation strategy centered on two core activities: (1) piloting co-located service delivery sites and (2) embedding Community Health Workers (CHWs) to enhance care coordination and chronic disease prevention.","Percentage of co-location sites that have completed space renovations/retrofits and technology infrastructure (shared data systems, telehealth infrastructure), demonstrating progress towards site readiness;Number and percentage of CHW positions filled, reflecting progress towards building the necessary care coordination workforce;Percentage of sites offering multiple lines of service, capturing the extent of care integration;Percentage of patients participating in chronic disease management programs at co-location sites by county of residence and county of service.",Active;Active;Active;Active
IA,Health Information Exchange,4,In progress,"Iowa proposes to sustain and expand the Iowa Health Information Exchange as a foundational strategy to structurally transform rural healthcare delivery. Established in 2008, Iowa’s HIE has onboarded 115 of the state’s 118 hospitals, along with a limited number of other provider types, including behavioral health providers, Federally Qualified Health Centers (FQHCs), local health departments, payers, laboratories, and physician clinics. Currently, 94% of hospitals use the HIE to submit electronic public health lab reports, and 97% use it for syndromic surveillance reporting","Number of new HIE agreements signed (by county of provider site) with non-hospital providers, including clinics, behavioral health, home health, and specialty care, will be tracked to demonstrate the expansion beyond traditional hospital systems that have participated in Iowa;Percentage of rural facilities (based on county) with active HIE accounts will be monitored and reported to assess readiness and system engagement;Number of rural facilities (based on county) provisioned to use the longitudinal health record;Number of queries made to the longitudinal health record each month, in rural counties and all counties, reflecting how often providers are accessing comprehensive patient data to inform care",Active;Active;Active;Active
IA,EMS Community Care Mobile,5,In progress,"Iowa will implement a robust strategy to transform prehospital care through three coordinated sub-initiatives: (1) EMS System Development and Sustainability Assessment, (2) Mobile Integrated Health Care, and (3) High-risk OB and Neonatal Transport Project. Together, these efforts will strengthen the EMS workforce, integrate telehealth and home-based care, and reduce unnecessary ED visits and hospital transports. In 2024, over 320,000 Iowans interacted with the EMS system, with approximately 35% residing in rural areas","Time required to hire internal EMS staff and release RFPs for sub-projects will be tracked to demonstrate administrative readiness and the ability to launch key components of the initiative;Percentage of EMS programs that are fully equipped and staffed will be monitored, capturing progress in vehicle procurement, equipment installation, and workforce deployment;Number of community visits and non-emergency transports conducted per month (at the county level), reflecting the volume and reach of expanded EMS services;The geographic distribution of EMS services will also be tracked (at the county level) relative to rural population coverage, helping to demonstrate alignment with the initiative’s access for rural residents",Active;Active;Active;Active
KS,Expand Primary and Secondary Prevention Programs,1,In progress,"The following outcomes define success in realizing meaningful reductions in chronic disease rates and avoidable hospitalizations for complications related to chronic disease. By 2031, all rural Kansas counties will achieve statistically signiﬁcant:
1. Reductions in the percentage of adults with fair or poor self-perceived health status
2. Reductions in the percentage of adults reporting poor mental health
3. Improvements in children’s performance on the Presidential Fitness Test
4. Reductions in the percentage of residents reporting low health literacy
5. Reductions in the incidence of diabetes, COPD, hypertension, heart failure, and dementia
6. Reductions in the rate of avoidable hospitalizations for diabetes, COPD, and heart failure","Participation, health outcomes, impact on total cost of care;Utilization and outcomes;Engagement;Rural PCPs’ and rural hospital CEOs’ perception of access to behavioral health services (in addition to aforementioned patient access and experience survey);Number of screenings and follow-up",Active;Active;Active;Active;Active
KS,Secure Local Access to Primary Care,2,In progress,"The following outcomes define success in substantially reducing the number of rural Kansas hospitals with negative operating margins.
By 2031, all rural Kansas hospitals will:
1. Achieve statistically signiﬁcant improvements on key measures of revenue cycle efficiency
2. Secure commercial payer rates sufficient to cover the costs of providing care in their communities
3. Use data to evaluate and pursue opportunities for regional collaboration in delivery of clinical services and/or business operations
4. Have resources available to support the transition to rural emergency hospital status, if such transition is determined appropriate for the community served
5. Work collaboratively with public health agencies to integrate public health with primary care",Hospital operating margins;Rural residents’ perception of access to care and quality of care;Number of awardees and awardee performance for Regional Partnerships and REH Conversion/Transformational Capital Investments Grant Programs;Anchor hospital engagement,Active;Active;Active;Active
KS,Build a Sustainable Rural Health Workforce,3,In progress,"The following outcomes define success in improving provider-to-population ratios for primary care, dental, and behavioral health providers and ease nursing and allied health shortages in rural Kansas.
By 2031, all rural Kansas communities will achieve:
1. Increases in the number of rural middle and high school students participating in health science CTE pathways or other health care career exploration activities
2. Establishment of robust rural physician residency programs in primary care, general surgery, obstetrics, psychiatry, and orthopedics
3. Reductions in vacancy rates and turnover rates for nurses and allied health professionals","Expanded physician training opportunities in rural communities

Impact on rural provider-to-patient ratios;Impact of training and education projects on allied health workforce shortages;Impact of recruitment and retention projects on workforce shortages;K-12 student engagement",Active;Active;Active;Active
KS,Enable Value-Based Care,4,In progress,"The following outcomes define success in having 100% of rural Medicare and Medicaid beneficiaries in accountable care relationships by 2031.
 By 2031:
1. All rural providers will achieve statistically signiﬁcant improvements on speciﬁed pay-for-performance measures identiﬁed as foundational to clinical integration. 
2. All rural providers will actively participate in clinically integrated networks with well-deﬁned regional continuums of care for speciﬁed conditions.
3. There will be an adequate regional transportation system to support networks’ continuums of care.
4. All rural hospitals and primary care providers will participate in the Medicare Shared Savings Program.
5. The state Medicaid program will include provider incentives for value-based care.
6. Dual eligible beneﬁciaries will participate in integrated care plans or, if remaining in traditional Medicare, receive tailored care management services.",Provider participation;Adoption of and adherence to evidence-based protocols;Provider engagement in care management/care coordination services;Reported status of transportation-related challenges;Estimated savings,Active;Active;Active;Active;Active
KS,Harness Data and Technology,5,In progress,"The following outcomes define success in enabling rural Kansas providers to meaningfully engage in data sharing and analysis, expanded use of telehealth and remote monitoring, appropriate use of artificial intelligence, and utilization of consumer-facing technologies.
By 2031:
1. Remote patient monitoring for acute and post-acute care and chronic disease management will be available as needed for rural Kansans.
2. Access to specialist services via telehealth will be available as needed for rural Kansans.
3. All rural providers will demonstrate adherence to TEFCA, and obstacles to rural residents’ exercising control over their own data and rural providers’ securely accessing patient data will be eliminated.
4. All rural providers will have successfully implemented well-vetted and secure artiﬁcial intelligence agents and applications to improve clinical care and enhance operational efficiency.","Clinical performance measures for hospitals performing monitoring;Access to specialist services (pulmonology, rheumatology, neurology, psychiatry);Technology utilization;Utilization and utility;Rural providers’ perception of data infrastructure",Active;Active;Active;Active;Active
KY,Rural Community Hubs for Chronic Care Innovations,1,In progress,"The Rural Community Hubs for Chronic Care Innovation initiative seeks to unite fragmented interventions, programs, resources, and technology tools for local community organizations to enable coordinated interventions across the chronic disease continuum, from early education and engagement to prevention, access, and delivery of ongoing chronic care management solutions. We envision these Rural Community Hubs will share a common technology infrastructure and be locally led at a regional level to align rural health stakeholders on shared priorities and outcome measures based on community need.",Hub coverage and activation: % of rural counties that are part of an active hub (charter adopted; monthly convenings underway);Stakeholder engagement: # of active partners in each rural community hub;Local initiative coverage: # of chronic disease or rural health initiatives launched locally with multi-stakeholder engagement;Data interoperability: % of partner systems (appropriate for connections) connected via FHIR interoperable standards;Timely referral closure: % of total referrals closed using care coordination tool;Certified CHWs with Chronic Disease Specializations: % of certified CHWs who have completed state-approved specialized training for chronic-disease,Active;Active;Active;Active;Active;Active
KY,PoWERing Rural Maternal and Infant Health: Community-Based Teams,2,In progress,The PoWER Team (People Who Work for Engagement and Resilience) initiative is a scalable patient-centered and community-based model designed to provide access to perinatal care and address Kentucky’s maternity care deserts,"% of pregnant women in rural counties who complete a first prenatal visit within the first trimester;# of rural maternal patients enrolled in evidence-based support programs within 30 days of confirming pregnancy (e.g., HANDS, WIC, KY Moms MATR, SNAP, Nutrition);% of rural maternal patients who complete the recommended number of prenatal and postmortem visits (including telehealth);a.) % of rural women (pre- and postpartum) screened for behavioral health needs

b.) % of rural women (pre- and postpartum) with positive behavioral health screens referred to appropriate services;% of eligible rural patients with a PoWER Team or enrolled in a coordinated care pathway within 14 days of confirming pregnancy;% of rural children who have had 6 or more well-child visits in the first 15 months of life",Active;Active;Active;Active;Active;Active
KY,"Rapid Response to Recovery: EmPATH Model, Mobile Crisis and Telehealth",3,In progress,"The Rapid Response to Recovery initiative will build on Kentucky’s Emergency Psychiatric Assessment, Treatment and Healing (EmPATH) model and Mobile Crisis Intervention services to become an integrated, interoperable system that supports individuals through the entire behavioral health crisis continuum.",% of EMS incidents responded with paramedicine or co-responders;# of adult ED visits primarily for behavioral disorders;% of patients seen at EmPATH units who complete their first follow up appointment;% of telehealth services delivered in primary care settings for behavioral health crisis response,Active;Active;Active;Active
KY,Rooted in Health: Kentucky Rural Dental Access Program,4,In progress,"Rooted in Health will improve dental care in rural communities through workforce development, teledentistry support, expanded community access points for oral care, and reduced ED visits for non-emergent dental pain at EDs.","% of adults on Medicaid (18+) that have a claim for dental cleaning(s) within the past year;% of children (aged 4 to 20) on Medicaid that have a claim for dental cleanings within the past year;a.) # of dental hygiene students that graduate from a Kentucky-based program

b.) # of licensed dental hygienists registered in a fully rural counties (based on business location and county HRSA designation);# of hospital visits for non-traumatic dental presentations in EDs;# of virtual consults with dentists and/or specialists through Medicaid",Active;Active;Active;Active;Active
KY,From Crisis to Care: Integrated EMS and Trauma Response,5,In progress,"This initiative will enhance prehospital care capacity, responsiveness, and coordination by enhancing workforce training, mobile resources, and telemedicine, thereby empowering EMS professionals to treat patients in place and ensuring smoother coordination with hospitals for trauma and specialty care.","Annual # of newly certified EMTs, AEMTs, paramedics, and CHWs;% of EMS calls resulting in TIP or TAD;% of preventable hospital ED visits;% of RMOCC partners’ access to up-to-date facility and patient-specific care",Active;Active;Active;Active
LA,Strengthen Health and Emergency Systems through Workforce Expansion and Integration ,1,In progress,"Rural Louisiana faces critical healthcare workforce shortages and delayed emergency response times due to geographic isolation and aging infrastructure. In 2023, nearly one in four healthcare workers was over 55, and vacancy rates in critical services exceeded 30%.xviii Rural emergency response times are 30% longer than in urban areas, placing additional strain on communities with limited access to care. This initiative addresses these challenges through a three-part strategy: (1) expanding the rural healthcare workforce via financial incentives, education partnerships, and tax credits; (2) building a sustainable training pipeline with clinical rotations and mentorship programs; and (3) enhancing emergency response capacity through community paramedicine and tele-EMS pilots. These efforts will improve access, reduce response times, and ensure continuity of care in underserved parishes.  ","% increase patients receiving primary care service in their parish-of-residence (stratified by parish);% increase in rural-trained HCWs entering Louisiana’s workforce within 12 months of graduation;% increase of specialty care provider coverage across rural parishes;% penetration increase in viable rural areas (i.e. broadband available), served by tele-EMS or community paramedicine;% decrease in EMS response time to high acuity incidents in rural areas (stratified by parish);% reduction in low-acuity 911 calls resolved through tele-EMS without hospital transport",Active;Active;Active;Active;Active;Active
LA,Modernize Technology Infrastructure and Capacity for Efficiency and Care Coordination  ,2,In progress,"Rural health systems face technological, operational, and financial barriers that limit efficiency, coordination, and equitable access. About 24% of Louisiana’s healthcare facilities are in rural areas, and many rely on outdated systems that restrict interoperability and delay care. Fragmented data exchange—caused by inconsistent standards, weak incentives, and data blocking—prevents the seamless flow of information across providers, Medicaid, and public health systems. This fragmentation leads to duplicative testing, delayed diagnoses, and limited insight into population health. Broadband gaps and low digital readiness further limit rural participation in digital care, with more than one in four households lacking reliable high-speed internet. Louisiana embraces the CMS vision for a unified health technology ecosystem designed to “kill the clipboard” by enabling frictionless, standards-based data exchange. Building on the state’s leadership as the first to commit to implementing a CMS Aligned Network, this initiative integrates four strategies to create a secure, interoperable infrastructure that links providers, patients, and payers through modern APIs, FHIR-based standards, and real-time data sharing. The network will eliminate redundant data entry, streamline reporting, and support automated analytics for coordinated care, population health management, and value-based reimbursement. 
Community-driven digital literacy programs—anchored by FQHCs, parish health units, libraries, and schools—will expand digital readiness, ensuring all residents can participate in the health technology ecosystem. Data sharing will comply with HIPAA, CMS, and state privacy regulations, reinforced by encryption, role-based access controls, and transparent governance. Louisiana will collaborate with peer states and national partners, such as the National Academy for State Health Policy and Harvard University, to accelerate cross-state interoperability, expand the use of standardized data frameworks, and catalyze public-private investment in scalable technologies that advance rural health transformation. With Secretary Bruce Greenstein’s proven leadership and engagement from tech innovators and investors, Louisiana will help drive the next generation of connected care—where health data moves at the speed of need, not paperwork.  ","% increase of rural providers/facilities leveraging data exchange for care coordination via interoperable platforms;% of rural providers exchanging data via FHIR-compliant network;% of rural patients with electronic access to their own health data through state-managed EHR;% of rural residents using RTCF-supported digital-health tools 
(telehealth apps, mobile platforms);% increase in preventive-care utilization among digitally connected patients (e.g., annual checkups, screenings)",Active;Active;Active;Active;Active
